decaimiento (us);evento;evento restado
40009;1707959176;706
40019;1707959177;707
40008;1707959178;708
40011;1707959179;709
40010;1707959180;710
40012;1707959181;711
40011;1707959182;712
40007;1707959183;713
40010;1707959184;714
40009;1707959186;716
40011;1707959187;717
40018;1707959188;718
40015;1707959189;719
40012;1707959190;720
40009;1707959191;721
40010;1707959192;722
40008;1707959193;723
40011;1707959194;724
40008;1707959195;725
40011;1707959196;726
40005;1707959197;727
40009;1707959198;728
40007;1707959199;729
40013;1707959200;730
40011;1707959201;731
40005;1707959202;732
40007;1707959203;733
40004;1707959204;734
40009;1707959205;735
40009;1707959206;736
40004;1707959207;737
40009;1707959208;738
40009;1707959209;739
40003;1707959210;740
40011;1707959211;741
40006;1707959212;742
40007;1707959213;743
40005;1707959214;744
40008;1707959215;745
40007;1707959216;746
3760;1707959216;746
40007;1707959217;747
40008;1707959218;748
40005;1707959219;749
40005;1707959220;750
40003;1707959221;751
40007;1707959222;752
40011;1707959223;753
40006;1707959224;754
40006;1707959225;755
40008;1707959226;756
40006;1707959227;757
40013;1707959228;758
40004;1707959229;759
40005;1707959230;760
40005;1707959231;761
40002;1707959232;762
40005;1707959233;763
40009;1707959234;764
40004;1707959235;765
40007;1707959236;766
40007;1707959237;767
40004;1707959238;768
40006;1707959239;769
40004;1707959240;770
40006;1707959241;771
40008;1707959242;772
40008;1707959243;773
40005;1707959244;774
40006;1707959245;775
40006;1707959246;776
40003;1707959247;777
40015;1707959248;778
40007;1707959249;779
40011;1707959250;780
40008;1707959251;781
40010;1707959252;782
40009;1707959253;783
40009;1707959254;784
40009;1707959255;785
40006;1707959256;786
40005;1707959257;787
40014;1707959258;788
40006;1707959259;789
40008;1707959260;790
40007;1707959261;791
40011;1707959262;792
40005;1707959263;793
40013;1707959264;794
40006;1707959265;795
40011;1707959266;796
40009;1707959267;797
40007;1707959268;798
40005;1707959269;799
40003;1707959270;800
40004;1707959271;801
40011;1707959272;802
40006;1707959273;803
40007;1707959274;804
40011;1707959275;805
40006;1707959276;806
40009;1707959277;807
40007;1707959278;808
40012;1707959279;809
40006;1707959280;810
40010;1707959281;811
40008;1707959282;812
40007;1707959283;813
40009;1707959284;814
40007;1707959285;815
1480;1707959285;815
40008;1707959286;816
40010;1707959287;817
40007;1707959288;818
40011;1707959289;819
40006;1707959290;820
40009;1707959291;821
40006;1707959292;822
40005;1707959293;823
40008;1707959294;824
40010;1707959295;825
40009;1707959296;826
40005;1707959297;827
40008;1707959298;828
40008;1707959299;829
40005;1707959300;830
40004;1707959301;831
40005;1707959302;832
40008;1707959303;833
40008;1707959304;834
40013;1707959305;835
40005;1707959306;836
40005;1707959307;837
40008;1707959308;838
40004;1707959309;839
40006;1707959310;840
40002;1707959311;841
40003;1707959312;842
40004;1707959313;843
40001;1707959314;844
40007;1707959315;845
40008;1707959316;846
40008;1707959317;847
40003;1707959318;848
40008;1707959319;849
